CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
796735,IPO,Interep National Radio Sales Inc,"New York, NY",IREP,Nasdaq NM,1999-10-02,11,13,$74.8 mil.,"Robertson Stephens, Bear Stearns & Co., HCFP/Brenner Securities,, SPP Capital Partners, LL, E*TRADE Securities"
1092693,IPO,Velocity.com (formally OrganicNet),"San Francisco, CA",VCTY,Nasdaq NM,1999-10-02,9,11,$51.8 mil.,"Needham & Company, Punk, Ziegel & Company"
1095022,IPO,Embark.com Inc,"San Francisco, CA",EMBK,Nasdaq NM,1999-10-02,-,-,$55.0 mil.,"Credit Suisse, Thomas Weisel Partners LLC, Chase H&Q, Piper Jaffray"
1095851,IPO,Art Renaissance Inc,"New York, NY",ARTS,Nasdaq NM,1999-10-02,9,11,$46.3 mil.,"AUERBACH, POLLAK & RICHA"
1089621,IPO,Espernet.com Inc,"New York, NY",ESNT,Nasdaq NM,1999-09-30,-,-,$172.5 mil.,"E*OFFERING, DLJ Direct, WR Hambrecht + Co, LLC"
1085076,IPO,CallNOW.Com Inc,"New York, NY",CALN,Nasdaq NM,1999-09-29,6,8,$46.1 mil.,"Kaufman Bros., LP, John G. Kinnard & Co."
1095016,IPO,HealthCentral.Com,"Emeryville, CA",HCEN,Nasdaq NM,1999-09-29,9,11,$86.3 mil.,"Lehman Brothers, Chase H&Q, Wedbush PacGrow Life Sciences, Wit Soundview, WR Hambrecht + Co, LLC"
1094029,IPO,AllQuest.Com Corp,"Houston, TX",LOAN,Nasdaq NM,1999-09-28,6,6,$8.40 mil.,"CHOICE INVESTMENTS, INC."
1095825,IPO,eBenX Inc,"Minneapolis, MN",EBNX,Nasdaq NM,1999-09-28,15,17,$69.0 mil.,"Robertson Stephens, UBS Investment Bank, Thomas Weisel Partners LLC, E*TRADE Securities"
1095600,IPO,CacheFlow Inc,"Sunnyvale, CA",CFLO,Nasdaq NM,1999-09-28,18,20,$50.0 mil.,"Morgan Stanley, Credit Suisse"
1094323,IPO,Fogdog Inc,"Redwood City, CA",FOGD,Nasdaq NM,1999-09-27,8,10,$60.0 mil.,"Credit Suisse, J.P. Morgan, Thomas Weisel Partners LLC, UBS Investment Bank, WR Hambrecht + Co, LLC, E*TRADE Securities"
712511,IPO,Telaxis Communications Corp. (Millitech Corp),"South Deerfield, MA",TLXS,Nasdaq NM,1999-09-27,14,16,$73.6 mil.,"Credit Suisse, Robertson Stephens, CIBC World Markets, E*OFFERING"
944163,IPO,Airnet Communications Corp,"Melbourne, FL",ANCC,Nasdaq NM,1999-09-25,11,13,$70.0 mil.,"Salomon Smith Barney, Chase H&Q, Volpe Brown Whelan & Co."
1079270,IPO,LifeMinders.com Inc,"Herndon, VA",LFMN,Nasdaq NM,1999-09-25,12,14,$57.5 mil.,"Chase H&Q, Thomas Weisel Partners LLC, UBS Financial Services Inc., Wit Soundview"
